x=1803.0, y=  52.0 | w=None  , h=None   | r=None           | name=처음으로                      | {'fill': '#283860', 'font': '18px S-Core Dream 6 Bold'} | 처음으로
x= 862.0, y=  58.0 | w=None  , h=None   | r=None           | name=직원 정보 검색                  | {'fill': '#283860', 'font': '34px S-Core Dream 6 Bold'} | 직원 정보 검색
x= 263.1, y=  58.4 | w=0.9385204315185547, h=1.250077247619629 | r=None           | name=사각형 40                    | {'fill': '#1a1311'} | 
x=   0.0, y=  90.0 | w=1920  , h=990    | r=None           | name=사각형 34                    | {'fill': '#edf2fb'} | 
x=1298.0, y= 127.0 | w=550   , h=70     | r=[8, 8, 8, 8]   | name=사각형 43                    | {'fill': '#ffffff', 'stroke': '#1059e4 (Nonepx)'} | 
x=1786.0, y= 134.0 | w=55    , h=55     | r=[8, 8, 8, 8]   | name=사각형 58                    | {'fill': '#3d7aef'} | 
x=1799.0, y= 146.0 | w=32    , h=32     | r=None           | name=사각형 206                   | {} | 
x=1800.9, y= 149.4 | w=None  , h=None   | r=None           | name=패스 88                     | {'fill': '#ffffff'} | 
x=1739.9, y= 151.4 | w=None  , h=None   | r=None           | name=ico_search                | {} | 
x= 121.5, y= 151.6 | w=None  , h=None   | r=None           | name=그룹 34                     | {} | 
x=1329.0, y= 169.0 | w=None  , h=None   | r=None           | name=성명, 사번, 부서명으로 검색하세요       | {'fill': '#3d7aef', 'font': '20px S-Core Dream 5 Medium'} | 성명, 사번, 부서명으로 검색하세요
x= 116.0, y= 181.1 | w=None  , h=None   | r=None           | name=ico_list_2                | {} | 
x= 139.8, y= 185.8 | w=None  , h=None   | r=None           | name=그룹 30                     | {} | 
x=1298.0, y= 205.0 | w=550   , h=70     | r=[8, 8, 8, 8]   | name=사각형 63                    | {'fill': '#ffffff', 'stroke': '#91b7ff (Nonepx)'} | 
x=1787.0, y= 212.0 | w=55    , h=55     | r=[8, 8, 8, 8]   | name=사각형 64                    | {'fill': '#3d7aef'} | 
x=-207.0, y= 217.0 | w=None  , h=None   | r=None           | name=keyboard_bt_search        | {} | 
x=-207.0, y= 217.0 | w=None  , h=None   | r=None           | name=keyboard_search_icon      | {} | 
x=1799.0, y= 224.0 | w=32    , h=32     | r=None           | name=사각형 207                   | {} | 
x=  95.0, y= 229.0 | w=1060  , h=250    | r=None           | name=사각형 6                     | {'fill': '#ffffff', 'stroke': '#ffffff (Nonepx)'} | 
x=1329.0, y= 248.0 | w=None  , h=None   | r=None           | name=전체부서                      | {'fill': '#212121', 'font': '22px S-Core Dream 6 Bold'} | 전체부서
x=1297.0, y= 285.0 | w=550   , h=760    | r=[8, 8, 8, 8]   | name=사각형 62                    | {'fill': '#ffffff', 'stroke': '#91b7ff (Nonepx)'} | 
x= 116.0, y= 307.1 | w=None  , h=None   | r=None           | name=ico_list_2                | {} | 
x= 121.5, y= 311.6 | w=None  , h=None   | r=None           | name=그룹 34                     | {} | 
x= 139.8, y= 311.8 | w=None  , h=None   | r=None           | name=그룹 30                     | {} | 
x=1329.0, y= 332.0 | w=None  , h=None   | r=None           | name=조직도                       | {'fill': '#212121', 'font': '25px S-Core Dream 7 ExtraBold'} | 조직도
x= 394.0, y= 340.0 | w=None  , h=None   | r=None           | name=성명, 사번, 부서명으로 검색하세요       | {'fill': '#373737', 'font': '31px S-Core Dream 5 Medium'} | 성명, 사번, 부서명으로 검색하세요
x=1313.0, y= 352.0 | w=450   , h=38     | r=[7, 7, 7, 7]   | name=사각형 69                    | {'fill': '#eff6fe'} | 
x=1803.0, y= 354.0 | w=20    , h=672    | r=[10, 10, 10, 10] | name=사각형 213                   | {'fill': '#eaf0fc'} | 
x=1803.0, y= 354.0 | w=20    , h=150    | r=[10, 10, 10, 10] | name=사각형 71                    | {'fill': '#3d7aef'} | 
x=1320.0, y= 356.0 | w=None  , h=None   | r=16             | name=타원 2                      | {'fill': '#e2efff'} | 
x=1328.0, y= 363.3 | w=None  , h=None   | r=None           | name=그룹 28                     | {} | 
x=1328.0, y= 363.3 | w=None  , h=None   | r=None           | name=패스 90                     | {'fill': '#1c4aa1'} | 
x=1332.4, y= 367.1 | w=1.6815993785858154, h=1.6815996170043945 | r=None           | name=사각형 65                    | {'fill': '#1c4aa1'} | 
x=1335.3, y= 367.1 | w=1.682198166847229, h=1.6815996170043945 | r=None           | name=사각형 66                    | {'fill': '#1c4aa1'} | 
x=1332.4, y= 370.9 | w=1.6815993785858154, h=1.6815990209579468 | r=None           | name=사각형 67                    | {'fill': '#1c4aa1'} | 
x=1335.3, y= 370.9 | w=1.682198166847229, h=1.6815990209579468 | r=None           | name=사각형 68                    | {'fill': '#1c4aa1'} | 
x=1355.0, y= 379.0 | w=None  , h=None   | r=None           | name=국방기술품질원                   | {'fill': '#1c4aa2', 'font': '18px S-Core Dream 6 Bold'} | 국방기술품질원
x= 276.0, y= 392.0 | w=None  , h=None   | r=None           | name=부서를 선택하시면 부서별 검색을 하실 수 있습 | {'fill': '#373737', 'font': '31px S-Core Dream 5 Medium'} | 부서를 선택하시면 부서별 검색을 하실 수 있습니다. 
x=1373.0, y= 403.0 | w=None  , h=None   | r=10.5           | name=타원 18                     | {} | 
